"","species_id","sci_name","common_name","species_code"
"982",8770,"Basilinna xantusii","Xantus's Hummingbird","XAHU"
"983",12130,"Empidonax flaviventris","Yellow-bellied Flycatcher","YBFL"
"984",10220,"Sphyrapicus varius","Yellow-bellied Sapsucker","YBSA"
"985",7060,"Coccyzus americanus","Yellow-billed Cuckoo","YBCU"
"986",1570,"Gavia adamsii","Yellow-billed Loon","YBLO"
"987",41662,"Coccyzus americanus/erythropthalmus","Yellow-billed/Black-billed Cuckoo",NA
"988",19210,"Emberiza aureola","Yellow-breasted Bunting","YBSB"
"989",17310,"Icteria virens","Yellow-breasted Chat","YBCH"
"990",40788,"Icteria virens virens","Yellow-breasted Chat (virens)",NA
"991",15050,"Phylloscopus inornatus","Yellow-browed Warbler","YBWA"
"992",2730,"Nyctanassa violacea","Yellow-crowned Night-Heron","YCNH"
"993",13510,"Vireo flavoviridis","Yellow-green Vireo","YGVI"
"994",19620,"Xanthocephalus xanthocephalus","Yellow-headed Blackbird","YHBL"
"995",31623,"Larus michahellis","Yellow-legged Gull","YLGU"
"996",1680,"Thalassarche chlororhynchos","Yellow-nosed Albatross","YNAL"
"997",16610,"Setophaga coronata","Yellow-rumped Warbler","YRWA"
"998",16630,"Setophaga coronata auduboni","Yellow-rumped Warbler (Audubon's)",NA
"999",16620,"Setophaga coronata coronata","Yellow-rumped Warbler (Myrtle)",NA
"1000",13380,"Vireo flavifrons","Yellow-throated Vireo","YTVI"
"1001",16700,"Setophaga dominica","Yellow-throated Warbler","YTWA"
"1002",3680,"Coturnicops noveboracensis","Yellow Rail","YERA"
"1003",16560,"Setophaga petechia","Yellow Warbler","YEWA"
"1004",16563,"Setophaga petechia [aestiva Group]","Yellow Warbler (Northern)",NA
"1005",3350,"Buteo albonotatus","Zone-tailed Hawk","ZTHA"
"1006",40858,"Zonotrichia sp.","Zonotrichia sp.",NA
